To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station,AQI,AQI Category
16-12-2021 00:00,2.83,0.58,13.36,26.9,142.96,74.91,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",148.0,Moderate
17-12-2021 00:00,1.83,0.48,11.53,23.29,135.14,68.93,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",128.0,Moderate
18-12-2021 00:00,3.09,0.72,12.86,24.32,136.32,69.58,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",130.0,Moderate
19-12-2021 00:00,3.17,0.77,11.77,20.33,126.35,68.46,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",126.0,Moderate
20-12-2021 00:00,5.49,0.7,15.42,23.49,139.88,76.74,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",155.0,Moderate
21-12-2021 00:00,3.79,0.73,17.75,30.29,148.77,75.02,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",149.0,Moderate
22-12-2021 00:00,4.79,0.82,21.31,43.54,138.85,67.33,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",126.0,Moderate
23-12-2021 00:00,15.19,1.2,14.69,56.65,147.47,64.94,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",132.0,Moderate
24-12-2021 00:00,25.46,1.32,13.66,62.69,162.87,74.09,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",146.0,Moderate
25-12-2021 00:00,26.16,0.96,8.9,46.89,145.13,73.84,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",145.0,Moderate
26-12-2021 00:00,23.84,0.97,12.81,41.32,153.68,79.14,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",163.0,Moderate
27-12-2021 00:00,19.56,0.84,8.97,29.14,150.06,76.49,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",154.0,Moderate
28-12-2021 00:00,19.45,0.63,5.9,18.26,111.8,74.46,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",147.0,Moderate
29-12-2021 00:00,17.43,0.64,6.46,22.64,99.15,62.2,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",105.0,Moderate
